"Frequency, Hz - Peaks",Magnitude (V) - Peaks,"Frequency, Hz - Signal",Magnitude (V) - Signal
,,119.4k,319.7902u
,,119.42k,318.1895u
,,119.44k,311.5121u
,,119.46k,310.7025u
,,119.48k,314.2157u
,,119.5k,314.865u
,,119.52k,315.8835u
,,119.54k,318.7364u
,,119.56k,320.0403u
,,119.58k,321.7223u
,,119.6k,323.473u
,,119.62k,319.4703u
,,119.64k,312.3956u
,,119.66k,307.5371u
,,119.68k,305.0246u
,,119.7k,307.7745u
,,119.72k,315.4881u
,,119.74k,320.1734u
,,119.76k,321.7846u
,,119.78k,323.4307u
,,119.8k,325.561u
,,119.82k,329.813u
,,119.84k,331.0393u
,,119.86k,328.7768u
,,119.88k,327.3068u
,,119.9k,326.8256u
,,119.92k,328.4603u
,,119.94k,330.2332u
,,119.96k,331.2864u
,,119.98k,334.5006u
,,120k,337.3465u
,,120.02k,338.0902u
,,120.04k,340.2604u
,,120.06k,343.3993u
,,120.08k,344.3058u
,,120.1k,345.9048u
,,120.12k,351.6369u
,,120.14k,357.5155u
,,120.16k,358.7251u
,,120.18k,358.641u
,,120.2k,363.6296u
,,120.22k,370.2861u
,,120.24k,371.7146u
,,120.26k,366.9933u
,,120.28k,362.0862u
,,120.3k,363.0816u
,,120.32k,369.5025u
,,120.34k,378.5375u
,,120.36k,384.168u
,,120.38k,382.9352u
,,120.4k,376.9679u
,,120.42k,370.9371u
,,120.44k,375.2587u
,,120.46k,389.964u
,,120.48k,400.9935u
,,120.5k,403.7234u
,,120.52k,402.9206u
,,120.54k,402.1277u
,,120.56k,405.1702u
,,120.58k,408.0166u
,,120.6k,408.8568u
,,120.62k,415.4056u
,,120.64k,423.7489u
,,120.66k,426.829u
,,120.68k,429.3655u
,,120.7k,433.331u
,,120.72k,435.5542u
,,120.74k,436.2187u
,,120.76k,435.6343u
,,120.78k,436.6469u
,,120.8k,440.6663u
,,120.82k,445.7857u
,,120.84k,452.8601u
,,120.86k,458.6879u
,,120.88k,460.4627u
